

State,Post office abbreviation,FIPS code,FIPS code,Unit,1980,1981 ,1982,1983,1984,1985,1986,1987,1988,1989 ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
United States ,  U.S.,00000,00,"1,000","226,546","229,466","231,664","233,792","235,825","237,924","240,133","242,289","244,499","246,819","248,718","252,981","256,514","259,919","263,126","266,278","269,394","272,647","275,854","279,040","281,422","285,112","287,888","290,448","293,192","295,896","298,755","301,621"
Alabama ,AL,01000,01,"1,000","3,894","3,919","3,925","3,934","3,952","3,973","3,992","4,015","4,024","4,030","4,040","4,099","4,154","4,214","4,260","4,297","4,331","4,368","4,405","4,430","4,447","4,463","4,471","4,488","4,509","4,540","4,590","4,628"
Alaska ,AK,02000,02,"1,000",402,418,450,488,514,532,544,539,542,547,550,570,589,599,603,604,609,613,620,625,627,633,643,651,662,669,677,683
Arizona ,AZ,04000,04,"1,000","2,718","2,810","2,890","2,969","3,067","3,184","3,308","3,437","3,535","3,622","3,665","3,789","3,916","4,065","4,245","4,432","4,587","4,737","4,883","5,024","5,131","5,301","5,445","5,579","5,744","5,952","6,166","6,339"
Arkansas ,AR,05000,05,"1,000","2,286","2,293","2,294","2,306","2,320","2,327","2,332","2,342","2,343","2,346","2,351","2,383","2,416","2,456","2,494","2,535","2,572","2,601","2,626","2,652","2,673","2,690","2,703","2,720","2,743","2,772","2,809","2,835"
California ,CA,06000,06,"1,000","23,668","24,286","24,820","25,360","25,844","26,441","27,102","27,777","28,464","29,218","29,758","30,471","30,975","31,275","31,484","31,697","32,019","32,486","32,988","33,499","33,872","34,526","34,964","35,377","35,722","35,990","36,250","36,553"
Colorado ,CO,08000,08,"1,000","2,890","2,978","3,062","3,134","3,170","3,209","3,237","3,260","3,262","3,276","3,294","3,387","3,496","3,614","3,724","3,827","3,920","4,018","4,117","4,226","4,301","4,434","4,508","4,555","4,609","4,674","4,766","4,862"
Connecticut ,CT,09000,09,"1,000","3,108","3,129","3,139","3,162","3,180","3,201","3,224","3,247","3,272","3,283","3,287","3,303","3,301","3,309","3,316","3,324","3,337","3,349","3,365","3,386","3,406","3,430","3,452","3,473","3,482","3,486","3,496","3,502"
Delaware ,DE,10000,10,"1,000",594,596,599,605,612,618,628,637,648,658,666,683,695,706,718,730,741,751,763,775,784,795,805,816,828,841,853,865
District of Columbia ,DC,11000,11,"1,000",638,637,634,632,633,635,638,637,630,624,607,601,598,595,589,581,572,568,565,570,572,578,579,577,580,582,585,588
Florida ,FL,12000,12,"1,000","9,746","10,193","10,471","10,750","11,040","11,351","11,668","11,997","12,306","12,638","12,938","13,370","13,651","13,927","14,239","14,538","14,853","15,186","15,487","15,759","15,982","16,349","16,668","16,959","17,343","17,736","18,058","18,251"
Georgia ,GA,13000,13,"1,000","5,463","5,568","5,650","5,728","5,835","5,963","6,085","6,208","6,316","6,411","6,478","6,653","6,817","6,978","7,157","7,328","7,501","7,685","7,864","8,046","8,186","8,422","8,591","8,740","8,921","9,108","9,342","9,545"
Hawaii ,HI,15000,15,"1,000",965,978,994,"1,013","1,028","1,040","1,052","1,068","1,080","1,095","1,108","1,137","1,159","1,173","1,188","1,197","1,204","1,212","1,215","1,210","1,212","1,219","1,229","1,240","1,254","1,268","1,279","1,283"
Idaho ,ID,16000,16,"1,000",944,962,974,982,991,994,990,985,986,994,"1,007","1,041","1,072","1,109","1,145","1,177","1,203","1,229","1,252","1,276","1,294","1,321","1,342","1,364","1,392","1,426","1,464","1,499"
Illinois ,IL,17000,17,"1,000","11,427","11,443","11,423","11,409","11,412","11,400","11,387","11,391","11,390","11,410","11,431","11,569","11,694","11,810","11,913","12,008","12,102","12,186","12,272","12,359","12,419","12,517","12,578","12,625","12,680","12,720","12,777","12,853"
Indiana ,IN,18000,18,"1,000","5,490","5,480","5,468","5,450","5,458","5,459","5,454","5,473","5,492","5,524","5,544","5,616","5,675","5,739","5,794","5,851","5,906","5,955","5,999","6,045","6,080","6,126","6,151","6,185","6,219","6,257","6,303","6,345"
Iowa ,IA,19000,19,"1,000","2,914","2,908","2,888","2,871","2,859","2,830","2,792","2,767","2,768","2,771","2,777","2,798","2,818","2,837","2,851","2,867","2,880","2,891","2,903","2,918","2,926","2,930","2,931","2,936","2,946","2,956","2,973","2,988"
Kansas ,KS,20000,20,"1,000","2,364","2,385","2,401","2,416","2,424","2,427","2,433","2,445","2,462","2,473","2,478","2,499","2,532","2,557","2,581","2,601","2,615","2,635","2,661","2,678","2,688","2,701","2,712","2,722","2,731","2,742","2,756","2,776"
Kentucky ,KY,21000,21,"1,000","3,661","3,670","3,683","3,694","3,695","3,695","3,688","3,683","3,680","3,677","3,687","3,722","3,765","3,812","3,849","3,887","3,920","3,953","3,985","4,018","4,042","4,067","4,089","4,114","4,140","4,171","4,204","4,241"
Louisiana ,LA,22000,22,"1,000","4,206","4,283","4,353","4,395","4,400","4,408","4,407","4,344","4,289","4,253","4,220","4,253","4,293","4,316","4,347","4,379","4,399","4,421","4,440","4,461","4,469","4,460","4,465","4,474","4,488","4,496","4,243","4,293"
Maine ,ME,23000,23,"1,000","1,125","1,133","1,137","1,145","1,156","1,163","1,170","1,185","1,204","1,220","1,228","1,237","1,239","1,242","1,243","1,243","1,249","1,255","1,259","1,267","1,275","1,285","1,294","1,303","1,309","1,312","1,315","1,317"
Maryland ,MD,24000,24,"1,000","4,217","4,262","4,283","4,313","4,365","4,413","4,487","4,566","4,658","4,727","4,781","4,868","4,923","4,972","5,023","5,070","5,112","5,157","5,204","5,255","5,296","5,375","5,434","5,494","5,538","5,573","5,602","5,618"
Massachusetts ,MA,25000,25,"1,000","5,737","5,769","5,771","5,799","5,841","5,881","5,903","5,935","5,980","6,015","6,016","6,018","6,029","6,061","6,095","6,141","6,180","6,226","6,272","6,317","6,349","6,408","6,432","6,439","6,434","6,429","6,434","6,450"
Michigan ,MI,26000,26,"1,000","9,262","9,209","9,115","9,048","9,049","9,076","9,128","9,187","9,218","9,253","9,295","9,400","9,479","9,540","9,598","9,676","9,759","9,809","9,848","9,897","9,938","10,007","10,044","10,075","10,103","10,108","10,102","10,072"
Minnesota ,MN,27000,27,"1,000","4,076","4,112","4,131","4,141","4,158","4,184","4,205","4,235","4,296","4,338","4,376","4,441","4,496","4,556","4,610","4,660","4,713","4,763","4,813","4,873","4,919","4,984","5,021","5,052","5,086","5,114","5,155","5,198"
Mississippi ,MS,28000,28,"1,000","2,521","2,539","2,557","2,568","2,578","2,588","2,594","2,589","2,580","2,574","2,575","2,599","2,624","2,655","2,689","2,723","2,748","2,777","2,805","2,828","2,845","2,854","2,859","2,868","2,887","2,900","2,899","2,919"
Missouri ,MO,29000,29,"1,000","4,917","4,932","4,929","4,944","4,975","5,000","5,023","5,057","5,082","5,096","5,117","5,171","5,217","5,271","5,324","5,378","5,432","5,481","5,522","5,562","5,595","5,642","5,676","5,706","5,745","5,788","5,838","5,878"
Montana ,MT,30000,30,"1,000",787,795,804,814,821,822,814,805,800,800,799,810,826,845,861,877,886,890,892,898,902,906,910,917,927,936,947,958
Nebraska ,NE,31000,31,"1,000","1,570","1,579","1,582","1,584","1,589","1,585","1,574","1,567","1,571","1,575","1,578","1,596","1,612","1,626","1,639","1,657","1,674","1,686","1,696","1,705","1,711","1,718","1,726","1,735","1,744","1,754","1,764","1,775"
Nevada ,NV,32000,32,"1,000",800,848,882,902,925,951,981,"1,023","1,075","1,137","1,202","1,296","1,351","1,411","1,499","1,582","1,666","1,764","1,853","1,935","1,998","2,095","2,168","2,238","2,330","2,409","2,492","2,565"
New Hampshire ,NH,33000,33,"1,000",921,937,948,958,977,997,"1,025","1,054","1,083","1,105","1,109","1,110","1,118","1,129","1,143","1,158","1,175","1,189","1,206","1,222","1,236","1,257","1,272","1,283","1,294","1,303","1,312","1,316"
New Jersey ,NJ,34000,34,"1,000","7,365","7,407","7,431","7,468","7,515","7,566","7,622","7,671","7,712","7,726","7,730","7,815","7,881","7,949","8,014","8,083","8,150","8,219","8,287","8,360","8,414","8,496","8,558","8,605","8,641","8,657","8,666","8,686"
