,Year,Cause Name,State,Death Counts,State Population(adjusted by year),"Deaths per 100,000 people",Alcohol Consumption,Drunk Driving Penalties,Legal Driving Age,Rural Freeway Speed Limits,Gun Laws,Summer Temperature,Mean Temperature,Winter Temperature,Unemployment Rate,Average Income,Quality of Life,Kids Proportion,Adult Proportion,Elderly Proportion,Smoking Proportion,Air Pollution,Overweight Proportion,High Blood Pressure Proportion
0,2016,Unintentional injuries,Wyoming,371,584290.0,63.5,1.0,1.0,16.0,75.0,5.0,63.5,42.0,21.2,3.9,60938.0,11.0,23.6,64.7,11.7,18.70%,5.0,27.7,30.8
1,2016,Unintentional injuries,Wisconsin,3575,5772958.0,61.92999999999999,1.0,1.0,16.0,65.0,4.0,66.8,43.1,17.2,2.9,56759.0,3.0,22.1,64.8,13.1,16.00%,6.8,30.7,30.8
2,2016,Unintentional injuries,West Virginia,1705,1830929.0,93.12,0.0,0.0,16.0,70.0,5.0,70.2,51.8,32.8,5.4,44061.0,45.0,22.4,62.3,15.3,26.00%,7.8,37.7,43.5
3,2016,Unintentional injuries,Washington,3221,7294680.0,44.16,1.0,1.0,16.0,70.0,3.0,63.8,48.3,33.0,4.8,66174.0,21.0,22.2,66.6,11.2,13.50%,8.0,28.6,29.5
4,2016,Unintentional injuries,Virginia,3710,8410946.0,44.11,1.0,0.0,16.25,70.0,4.0,73.2,55.1,36.8,3.4,68766.0,41.0,22.1,66.7,11.2,16.40%,7.2,29.0,32.4
5,2016,Unintentional injuries,Vermont,372,623644.0,59.650000000000006,0.0,0.0,16.0,65.0,5.0,65.1,42.9,19.4,2.8,57808.0,26.0,18.7,68.6,12.7,15.80%,5.2,27.1,30.4
6,2016,Unintentional injuries,Utah,1211,3042613.0,39.8,0.0,0.0,16.0,75.0,4.0,69.6,48.6,28.2,3.1,65325.0,22.0,29.9,61.6,8.5,8.90%,8.3,25.4,24.5
7,2016,Unintentional injuries,United States,161374,323071342.0,49.95,,,,,,,,,,,,,,,,,,
8,2016,Unintentional injuries,Texas,10536,27937492.0,37.71,1.0,1.0,16.0,85.0,4.0,81.1,64.8,47.9,4.0,57051.0,46.0,26.0,64.1,9.9,15.70%,8.6,34.8,32.5
9,2016,Unintentional injuries,Tennessee,4238,6645011.0,63.78,0.0,0.0,16.0,70.0,4.0,75.6,57.6,39.1,3.4,48708.0,28.0,22.4,65.2,12.4,22.60%,7.7,29.6,38.7
10,2016,Unintentional injuries,South Dakota,505,862890.0,58.52,1.0,0.0,14.25,75.0,4.0,69.9,45.2,19.5,4.4,54126.0,5.0,24.7,61.0,14.3,19.30%,5.4,32.3,30.8
11,2016,Unintentional injuries,South Carolina,3012,4958235.0,60.75000000000001,1.0,0.0,15.5,70.0,3.0,78.4,62.4,46.1,4.5,48781.0,30.0,22.0,65.9,12.1,18.80%,7.4,26.6,38.1
12,2016,Unintentional injuries,Rhode Island,675,1057063.0,63.85999999999999,0.0,0.0,16.5,65.0,3.0,68.8,50.1,31.4,4.8,61043.0,23.0,19.6,65.9,14.5,14.90%,7.6,30.7,33.1
13,2016,Unintentional injuries,Pennsylvania,8410,12783538.0,65.79,0.0,0.0,16.5,65.0,4.0,68.6,48.8,28.4,4.1,56951.0,44.0,20.8,63.6,15.6,18.70%,9.7,30.3,32.6
14,2016,Unintentional injuries,Oregon,2105,4091404.0,51.449999999999996,1.0,0.0,16.0,65.0,3.0,63.7,48.4,34.0,4.0,56119.0,18.0,21.1,66.1,12.8,16.10%,7.7,28.7,30.1
15,2016,Unintentional injuries,Oklahoma,2592,3926769.0,66.01,1.0,1.0,16.0,75.0,4.0,79.6,59.6,39.1,4.4,49767.0,17.0,24.4,62.4,13.2,20.10%,7.9,32.8,37.7
16,2016,Unintentional injuries,Ohio,7999,11635003.0,68.75,1.0,0.0,16.0,70.0,4.0,70.9,50.7,29.5,2.6,52407.0,40.0,22.3,64.4,13.3,21.10%,9.0,31.5,34.7
17,2016,Unintentional injuries,North Dakota,371,754353.0,49.18,0.0,1.0,15.0,75.0,4.0,66.6,40.4,12.2,4.5,61285.0,1.0,23.3,62.0,14.7,18.30%,4.5,31.9,29.5
18,2016,Unintentional injuries,North Carolina,5476,10156679.0,53.92,0.0,0.0,16.0,70.0,4.0,75.7,59.0,42.1,4.6,50320.0,34.0,22.4,65.6,12.0,17.20%,7.4,31.8,34.7
19,2016,Unintentional injuries,New York,7354,19641589.0,37.44,1.0,0.0,16.5,65.0,1.0,66.5,45.4,23.3,5.6,62765.0,37.0,20.9,66.2,12.9,14.10%,7.0,25.5,29.4
20,2016,Unintentional injuries,New Mexico,1487,2092789.0,71.05,1.0,1.0,15.5,75.0,4.0,71.4,53.4,36.1,4.6,46718.0,8.0,23.4,64.9,11.7,17.50%,5.8,28.3,30.5
21,2016,Unintentional injuries,New Jersey,3839,8874516.0,43.26,1.0,0.0,17.0,65.0,1.0,72.2,52.7,33.0,2.6,76475.0,49.0,22.0,64.8,13.2,13.70%,8.3,27.4,33.0
22,2016,Unintentional injuries,New Hampshire,924,1342373.0,68.83,0.0,1.0,16.0,65.0,5.0,65.5,43.8,21.1,4.9,71305.0,4.0,19.3,68.7,12.0,15.70%,5.0,26.6,30.0
23,2016,Unintentional injuries,Nevada,1395,2919772.0,47.78,1.0,1.0,16.0,75.0,3.0,69.0,49.9,32.2,2.8,55434.0,43.0,22.9,66.1,11.0,17.60%,8.8,25.8,32.6
24,2016,Unintentional injuries,Nebraska,772,1905924.0,40.510000000000005,1.0,1.0,16.0,75.0,3.0,71.8,48.8,25.7,4.1,56675.0,14.0,24.8,61.6,13.6,15.40%,7.1,32.0,30.6
25,2016,Unintentional injuries,Montana,626,1040863.0,60.14000000000001,1.0,1.0,15.0,75.0,4.0,64.2,42.7,21.2,3.6,50801.0,13.0,21.8,64.8,13.4,17.20%,6.8,25.5,29.0
26,2016,Unintentional injuries,Missouri,3625,6087203.0,59.550000000000004,0.0,1.0,16.0,70.0,5.0,75.4,54.5,32.3,4.5,51542.0,15.0,22.6,63.9,13.5,20.80%,7.9,31.7,32.0
27,2016,Unintentional injuries,Mississippi,1803,2988298.0,60.34,1.0,0.0,16.0,70.0,5.0,79.5,63.4,46.7,3.2,42009.0,6.0,23.9,64.0,12.1,22.20%,7.6,37.3,40.8
28,2016,Unintentional injuries,Minnesota,2697,5523409.0,48.83,1.0,1.0,16.0,70.0,2.0,66.8,41.2,12.5,4.7,65699.0,2.0,23.3,64.6,12.1,14.50%,7.1,27.8,26.6
29,2016,Unintentional injuries,Michigan,5313,9951890.0,53.39,0.0,0.0,16.0,70.0,3.0,66.2,44.4,21.7,3.5,52668.0,29.0,21.8,65.9,12.3,19.30%,8.3,32.5,34.7
30,2016,Unintentional injuries,Massachusetts,3831,6826022.0,56.120000000000005,1.0,0.0,16.5,65.0,2.0,68.0,47.9,27.4,4.3,74167.0,25.0,20.0,66.5,13.5,13.70%,6.0,23.6,28.6
31,2016,Unintentional injuries,Maryland,2271,6004692.0,37.82,1.0,1.0,16.5,65.0,1.0,73.3,54.2,34.7,2.7,78916.0,31.0,22.3,66.4,11.3,13.80%,8.3,29.9,32.4
32,2016,Unintentional injuries,Maine,909,1331370.0,68.28,1.0,0.0,16.0,75.0,5.0,63.7,41.0,16.8,4.4,53024.0,12.0,18.9,66.7,14.4,17.30%,6.5,29.9,34.8
33,2016,Unintentional injuries,Louisiana,2710,4678215.0,57.93000000000001,1.0,0.0,16.0,75.0,3.0,81.1,66.4,50.9,4.0,46710.0,42.0,23.7,64.7,11.6,23.10%,8.0,35.5,39.0
34,2016,Unintentional injuries,Kentucky,3194,4438229.0,71.97,1.0,1.0,16.5,70.0,4.0,74.5,55.6,35.9,3.4,46535.0,27.0,22.7,64.8,12.5,24.60%,8.2,34.2,39.4
35,2016,Unintentional injuries,Kansas,1444,2911263.0,49.6,0.0,0.0,16.0,75.0,5.0,76.4,54.3,31.9,2.8,55477.0,16.0,24.5,62.2,13.3,17.40%,6.9,31.2,32.8
36,2016,Unintentional injuries,Iowa,1608,3131785.0,51.339999999999996,1.0,0.0,16.0,70.0,3.0,71.6,47.8,21.7,3.2,56570.0,9.0,23.3,61.8,14.9,17.10%,7.2,32.0,31.5
37,2016,Unintentional injuries,Indiana,3496,6633344.0,52.7,0.0,1.0,16.25,70.0,4.0,72.4,51.7,29.4,4.6,52182.0,48.0,23.6,64.0,12.4,21.80%,8.7,32.5,35.2
38,2016,Unintentional injuries,Illinois,5508,12826895.0,42.94,1.0,1.0,16.0,65.0,2.0,73.4,51.8,28.3,2.9,61229.0,47.0,22.6,65.3,12.1,15.50%,9.6,31.6,32.2
39,2016,Unintentional injuries,Idaho,849,1682930.0,50.449999999999996,0.0,1.0,15.0,75.0,5.0,63.7,44.4,25.4,2.1,50985.0,20.0,25.8,62.9,11.3,14.30%,6.7,27.4,29.8
40,2016,Unintentional injuries,Hawaii,577,1428105.0,40.4,1.0,1.0,16.0,60.0,1.0,72.2,70.0,67.4,4.4,74923.0,36.0,21.4,65.3,13.3,12.80%,5.8,23.8,30.6
41,2016,Unintentional injuries,Georgia,4701,10304763.0,45.62,1.0,1.0,16.0,70.0,4.0,78.7,63.5,47.8,4.4,52977.0,32.0,24.1,66.3,9.6,17.50%,8.6,31.4,33.1
42,2016,Unintentional injuries,Florida,12561,20629982.0,60.89,0.0,1.0,16.0,70.0,4.0,81.0,70.7,59.4,3.9,50883.0,33.0,20.0,62.4,17.6,16.10%,7.1,27.4,34.6
43,2016,Unintentional injuries,District of Columbia,401,686575.0,58.41,,,,,,,,,,,,,,,,,,
44,2016,Unintentional injuries,Delaware,516,949216.0,54.36,1.0,1.0,16.5,65.0,2.0,74.2,55.3,36.1,4.3,63036.0,24.0,21.3,65.7,13.0,17.00%,8.6,30.7,34.9
45,2016,Unintentional injuries,Connecticut,1978,3578674.0,55.269999999999996,1.0,0.0,16.333,65.0,3.0,69.2,49.0,28.5,4.5,73781.0,38.0,20.7,65.5,13.8,12.70%,7.7,26.0,30.5
