Year,Cause Name,State,Deaths,Age-adjusted Death Rate,State Population,Death Proportion
2016,Unintentional injuries,Wyoming,371,61.9,584290,0.635
2016,Unintentional injuries,Wisconsin,3575,55.6,5772958,0.6193
2016,Unintentional injuries,West Virginia,1705,89.7,1830929,0.9312
2016,Unintentional injuries,Washington,3221,41.4,7294680,0.4416
2016,Unintentional injuries,Virginia,3710,42.4,8410946,0.4411
2016,Unintentional injuries,Vermont,372,54.8,623644,0.5965
2016,Unintentional injuries,Utah,1211,43.8,3042613,0.398
2016,Unintentional injuries,United States,161374,47.4,323071342,0.4995
2016,Unintentional injuries,Texas,10536,38.6,27937492,0.3771
2016,Unintentional injuries,Tennessee,4238,61.1,6645011,0.6378
2016,Unintentional injuries,South Dakota,505,53.4,862890,0.5852
2016,Unintentional injuries,South Carolina,3012,58.9,4958235,0.6075
2016,Unintentional injuries,Rhode Island,675,56.6,1057063,0.6386
2016,Unintentional injuries,Pennsylvania,8410,61.8,12783538,0.6579
2016,Unintentional injuries,Oregon,2105,46,4091404,0.5145
2016,Unintentional injuries,Oklahoma,2592,64.1,3926769,0.6601
2016,Unintentional injuries,Ohio,7999,66.6,11635003,0.6875
2016,Unintentional injuries,North Dakota,371,45.4,754353,0.4918
2016,Unintentional injuries,North Carolina,5476,52.2,10156679,0.5392
2016,Unintentional injuries,New York,7354,34.2,19641589,0.3744
2016,Unintentional injuries,New Mexico,1487,69.5,2092789,0.7105
2016,Unintentional injuries,New Jersey,3839,40.8,8874516,0.4326
2016,Unintentional injuries,New Hampshire,924,66.6,1342373,0.6883
2016,Unintentional injuries,Nevada,1395,46,2919772,0.4778
2016,Unintentional injuries,Nebraska,772,37,1905924,0.4051
2016,Unintentional injuries,Montana,626,54.1,1040863,0.6014
2016,Unintentional injuries,Missouri,3625,57,6087203,0.5955
2016,Unintentional injuries,Mississippi,1803,59.2,2988298,0.6034
2016,Unintentional injuries,Minnesota,2697,43.8,5523409,0.4883
2016,Unintentional injuries,Michigan,5313,50.5,9951890,0.5339
2016,Unintentional injuries,Massachusetts,3831,52.8,6826022,0.5612
2016,Unintentional injuries,Maryland,2271,35.7,6004692,0.3782
2016,Unintentional injuries,Maine,909,62.4,1331370,0.6828
2016,Unintentional injuries,Louisiana,2710,57.4,4678215,0.5793
2016,Unintentional injuries,Kentucky,3194,71,4438229,0.7197
2016,Unintentional injuries,Kansas,1444,45.7,2911263,0.496
2016,Unintentional injuries,Iowa,1608,45.8,3131785,0.5134
2016,Unintentional injuries,Indiana,3496,51.6,6633344,0.527
2016,Unintentional injuries,Illinois,5508,41,12826895,0.4294
2016,Unintentional injuries,Idaho,849,49.5,1682930,0.5045
2016,Unintentional injuries,Hawaii,577,35.3,1428105,0.404
2016,Unintentional injuries,Georgia,4701,45.8,10304763,0.4562
2016,Unintentional injuries,Florida,12561,54.9,20629982,0.6089
2016,Unintentional injuries,District of Columbia,401,58.3,686575,0.5841
2016,Unintentional injuries,Delaware,516,52.4,949216,0.5436
2016,Unintentional injuries,Connecticut,1978,50.3,3578674,0.5527
2016,Unintentional injuries,Colorado,2880,51.2,5540921,0.5198
2016,Unintentional injuries,California,13213,32,39209127,0.337
2016,Unintentional injuries,Arkansas,1604,51.8,2990410,0.5364
2016,Unintentional injuries,Arizona,4010,54.2,6945452,0.5774
2016,Unintentional injuries,Alaska,439,63.1,741504,0.592
2016,Unintentional injuries,Alabama,2755,55.5,4864745,0.5663
2016,Suicide,Wyoming,144,25.2,584290,0.2465
2016,Suicide,Wisconsin,866,14.7,5772958,0.15
2016,Suicide,West Virginia,362,19.3,1830929,0.1977
2016,Suicide,Washington,1141,14.9,7294680,0.1564
2016,Suicide,Virginia,1166,13.2,8410946,0.1386
2016,Suicide,Vermont,118,17.3,623644,0.1892
2016,Suicide,Utah,620,21.8,3042613,0.2038
2016,Suicide,United States,44965,13.5,323071342,0.1392
2016,Suicide,Texas,3488,12.6,27937492,0.1249
2016,Suicide,Tennessee,1111,16.3,6645011,0.1672
2016,Suicide,South Dakota,163,20.2,862890,0.1889
2016,Suicide,South Carolina,815,15.7,4958235,0.1644
2016,Suicide,Rhode Island,126,11.2,1057063,0.1192
2016,Suicide,Pennsylvania,1970,14.7,12783538,0.1541
2016,Suicide,Oregon,772,17.8,4091404,0.1887
2016,Suicide,Oklahoma,822,21,3926769,0.2093
2016,Suicide,Ohio,1707,14.2,11635003,0.1467
2016,Suicide,North Dakota,140,19,754353,0.1856
2016,Suicide,North Carolina,1373,13,10156679,0.1352
2016,Suicide,New York,1679,8.1,19641589,0.0855
2016,Suicide,New Mexico,471,22.5,2092789,0.2251
2016,Suicide,New Jersey,687,7.2,8874516,0.0774
2016,Suicide,New Hampshire,244,17.2,1342373,0.1818
2016,Suicide,Nevada,650,21.4,2919772,0.2226
2016,Suicide,Nebraska,246,13.1,1905924,0.1291
2016,Suicide,Montana,267,25.9,1040863,0.2565
2016,Suicide,Missouri,1133,18.4,6087203,0.1861
2016,Suicide,Mississippi,383,12.7,2988298,0.1282
2016,Suicide,Minnesota,745,13.2,5523409,0.1349
2016,Suicide,Michigan,1364,13.3,9951890,0.1371
2016,Suicide,Massachusetts,631,8.8,6826022,0.0924
2016,Suicide,Maryland,586,9.4,6004692,0.0976
2016,Suicide,Maine,226,15.9,1331370,0.1697
2016,Suicide,Louisiana,677,14.2,4678215,0.1447
2016,Suicide,Kentucky,756,16.8,4438229,0.1703
2016,Suicide,Kansas,514,17.9,2911263,0.1766
2016,Suicide,Iowa,451,14.6,3131785,0.144
2016,Suicide,Indiana,1034,15.4,6633344,0.1559
2016,Suicide,Illinois,1415,10.7,12826895,0.1103
2016,Suicide,Idaho,351,21.4,1682930,0.2086
2016,Suicide,Hawaii,174,12.1,1428105,0.1218
2016,Suicide,Georgia,1409,13.3,10304763,0.1367
2016,Suicide,Florida,3143,14,20629982,0.1524
2016,Suicide,District of Columbia,40,5.2,686575,0.0583
2016,Suicide,Delaware,119,11.5,949216,0.1254
2016,Suicide,Connecticut,397,10.1,3578674,0.1109
2016,Suicide,Colorado,1168,20.5,5540921,0.2108
2016,Suicide,California,4294,10.5,39209127,0.1095
2016,Suicide,Arkansas,555,18.2,2990410,0.1856
2016,Suicide,Arizona,1271,17.7,6945452,0.183
2016,Suicide,Alaska,193,25.8,741504,0.2603
2016,Suicide,Alabama,788,15.7,4864745,0.162
2016,Stroke,Wyoming,208,31.7,584290,0.356
2016,Stroke,Wisconsin,2481,33.3,5772958,0.4298
2016,Stroke,West Virginia,1039,41.7,1830929,0.5675
2016,Stroke,Washington,2910,35.8,7294680,0.3989
2016,Stroke,Virginia,3502,38.2,8410946,0.4164
2016,Stroke,Vermont,247,29.2,623644,0.3961
2016,Stroke,Utah,932,38.8,3042613,0.3063
2016,Stroke,United States,142142,37.3,323071342,0.44
2016,Stroke,Texas,10673,42,27937492,0.382
2016,Stroke,Tennessee,3508,46,6645011,0.5279
2016,Stroke,South Dakota,420,35.8,862890,0.4867
2016,Stroke,South Carolina,2627,45.5,4958235,0.5298
2016,Stroke,Rhode Island,399,26.8,1057063,0.3775
2016,Stroke,Pennsylvania,6730,37,12783538,0.5265
2016,Stroke,Oregon,1943,37.8,4091404,0.4749
2016,Stroke,Oklahoma,1859,41.8,3926769,0.4734
2016,Stroke,Ohio,5987,40.6,11635003,0.5146
2016,Stroke,North Dakota,311,32.7,754353,0.4123
2016,Stroke,North Carolina,4940,43,10156679,0.4864
2016,Stroke,New York,6258,25.5,19641589,0.3186
2016,Stroke,New Mexico,885,35.5,2092789,0.4229
2016,Stroke,New Jersey,3401,30.4,8874516,0.3832
2016,Stroke,New Hampshire,490,28,1342373,0.365
2016,Stroke,Nevada,1096,35.9,2919772,0.3754
2016,Stroke,Nebraska,787,33.2,1905924,0.4129
2016,Stroke,Montana,440,32.5,1040863,0.4227
2016,Stroke,Missouri,3069,40.4,6087203,0.5042
2016,Stroke,Mississippi,1705,50.6,2988298,0.5706
2016,Stroke,Minnesota,2197,32.5,5523409,0.3978
2016,Stroke,Michigan,4874,39,9951890,0.4898
2016,Stroke,Massachusetts,2468,27.9,6826022,0.3616
2016,Stroke,Maryland,2709,39.7,6004692,0.4511
2016,Stroke,Maine,663,34.4,1331370,0.498
2016,Stroke,Louisiana,2322,46,4678215,0.4963
2016,Stroke,Kentucky,2057,40.4,4438229,0.4635
2016,Stroke,Kansas,1363,38.6,2911263,0.4682
2016,Stroke,Iowa,1388,32.3,3131785,0.4432
2016,Stroke,Indiana,3040,39.5,6633344,0.4583
2016,Stroke,Illinois,5658,37.8,12826895,0.4411
2016,Stroke,Idaho,682,37.2,1682930,0.4052
2016,Stroke,Hawaii,675,34.3,1428105,0.4727
2016,Stroke,Georgia,4349,44.3,10304763,0.422
2016,Stroke,Florida,11854,37.3,20629982,0.5746
2016,Stroke,District of Columbia,252,38.4,686575,0.367
2016,Stroke,Delaware,506,41.6,949216,0.5331
2016,Stroke,Connecticut,1269,26.3,3578674,0.3546
2016,Stroke,Colorado,1927,35.2,5540921,0.3478
2016,Stroke,California,15680,36.9,39209127,0.3999
2016,Stroke,Arkansas,1643,45.6,2990410,0.5494
2016,Stroke,Arizona,2556,29.8,6945452,0.368
2016,Stroke,Alaska,196,39,741504,0.2643
2016,Stroke,Alabama,2967,51.6,4864745,0.6099
2016,Kidney disease,Wyoming,66,10,584290,0.113
2016,Kidney disease,Wisconsin,960,13,5772958,0.1663
2016,Kidney disease,West Virginia,481,19.3,1830929,0.2627
2016,Kidney disease,Washington,532,6.6,7294680,0.0729
2016,Kidney disease,Virginia,1543,16.6,8410946,0.1835
2016,Kidney disease,Vermont,30,3.7,623644,0.0481
2016,Kidney disease,Utah,370,15.2,3042613,0.1216
2016,Kidney disease,United States,50046,13.1,323071342,0.1549
2016,Kidney disease,Texas,4125,15.8,27937492,0.1477
2016,Kidney disease,Tennessee,1150,14.9,6645011,0.1731
2016,Kidney disease,South Dakota,90,7.6,862890,0.1043
2016,Kidney disease,South Carolina,897,15.3,4958235,0.1809
2016,Kidney disease,Rhode Island,141,9.9,1057063,0.1334
2016,Kidney disease,Pennsylvania,2813,15.7,12783538,0.22
2016,Kidney disease,Oregon,398,7.7,4091404,0.0973
2016,Kidney disease,Oklahoma,577,12.9,3926769,0.1469
2016,Kidney disease,Ohio,2262,15.4,11635003,0.1944
2016,Kidney disease,North Dakota,106,11.3,754353,0.1405
2016,Kidney disease,North Carolina,2002,17.1,10156679,0.1971
2016,Kidney disease,New York,2385,9.8,19641589,0.1214
2016,Kidney disease,New Mexico,293,11.7,2092789,0.14
2016,Kidney disease,New Jersey,1535,13.8,8874516,0.173
2016,Kidney disease,New Hampshire,161,9.4,1342373,0.1199
2016,Kidney disease,Nevada,274,8.8,2919772,0.0938
2016,Kidney disease,Nebraska,220,9.5,1905924,0.1154
2016,Kidney disease,Montana,155,11.3,1040863,0.1489
2016,Kidney disease,Missouri,1483,19.6,6087203,0.2436
2016,Kidney disease,Mississippi,763,22.8,2988298,0.2553
2016,Kidney disease,Minnesota,588,8.8,5523409,0.1065
2016,Kidney disease,Michigan,1791,14.3,9951890,0.18
2016,Kidney disease,Massachusetts,1139,13.2,6826022,0.1669
2016,Kidney disease,Maryland,823,12.1,6004692,0.1371
2016,Kidney disease,Maine,239,12.4,1331370,0.1795
2016,Kidney disease,Louisiana,1153,22.6,4678215,0.2465
2016,Kidney disease,Kentucky,1034,20.3,4438229,0.233
2016,Kidney disease,Kansas,533,15,2911263,0.1831
2016,Kidney disease,Iowa,352,8.3,3131785,0.1124
2016,Kidney disease,Indiana,1411,18.4,6633344,0.2127
2016,Kidney disease,Illinois,2518,17,12826895,0.1963
2016,Kidney disease,Idaho,190,10.3,1682930,0.1129
2016,Kidney disease,Hawaii,215,11.2,1428105,0.1505
2016,Kidney disease,Georgia,1864,18.4,10304763,0.1809
2016,Kidney disease,Florida,3144,10.2,20629982,0.1524
2016,Kidney disease,District of Columbia,57,9,686575,0.083
2016,Kidney disease,Delaware,208,17.1,949216,0.2191
2016,Kidney disease,Connecticut,570,12.1,3578674,0.1593
2016,Kidney disease,Colorado,491,8.9,5540921,0.0886
2016,Kidney disease,California,3640,8.6,39209127,0.0928
2016,Kidney disease,Arkansas,722,20,2990410,0.2414
2016,Kidney disease,Arizona,487,5.7,6945452,0.0701
2016,Kidney disease,Alaska,53,10,741504,0.0715
2016,Kidney disease,Alabama,1012,17.4,4864745,0.208
2016,Influenza and pneumonia,Wyoming,99,15,584290,0.1694
2016,Influenza and pneumonia,Wisconsin,888,11.9,5772958,0.1538
2016,Influenza and pneumonia,West Virginia,423,17.3,1830929,0.231
2016,Influenza and pneumonia,Washington,815,10,7294680,0.1117
2016,Influenza and pneumonia,Virginia,1177,12.7,8410946,0.1399
2016,Influenza and pneumonia,Vermont,59,7,623644,0.0946
2016,Influenza and pneumonia,Utah,380,15.5,3042613,0.1249
2016,Influenza and pneumonia,United States,51537,13.5,323071342,0.1595
2016,Influenza and pneumonia,Texas,2860,11.1,27937492,0.1024
2016,Influenza and pneumonia,Tennessee,1533,20.1,6645011,0.2307
2016,Influenza and pneumonia,South Dakota,195,16.7,862890,0.226
2016,Influenza and pneumonia,South Carolina,690,12,4958235,0.1392
2016,Influenza and pneumonia,Rhode Island,165,11,1057063,0.1561
2016,Influenza and pneumonia,Pennsylvania,2491,13.9,12783538,0.1949
2016,Influenza and pneumonia,Oregon,452,8.9,4091404,0.1105
2016,Influenza and pneumonia,Oklahoma,546,12.4,3926769,0.139
2016,Influenza and pneumonia,Ohio,2187,15,11635003,0.188
2016,Influenza and pneumonia,North Dakota,134,14.5,754353,0.1776
2016,Influenza and pneumonia,North Carolina,1896,16.5,10156679,0.1867
2016,Influenza and pneumonia,New York,4513,18.3,19641589,0.2298
2016,Influenza and pneumonia,New Mexico,353,14.6,2092789,0.1687
2016,Influenza and pneumonia,New Jersey,1208,10.7,8874516,0.1361
2016,Influenza and pneumonia,New Hampshire,203,11.8,1342373,0.1512
2016,Influenza and pneumonia,Nevada,567,18.1,2919772,0.1942
2016,Influenza and pneumonia,Nebraska,342,14.3,1905924,0.1794
2016,Influenza and pneumonia,Montana,147,11.1,1040863,0.1412
2016,Influenza and pneumonia,Missouri,1150,15.1,6087203,0.1889
2016,Influenza and pneumonia,Mississippi,785,23.4,2988298,0.2627
2016,Influenza and pneumonia,Minnesota,529,7.8,5523409,0.0958
2016,Influenza and pneumonia,Michigan,1672,13.7,9951890,0.168
2016,Influenza and pneumonia,Massachusetts,1251,14.1,6826022,0.1833
2016,Influenza and pneumonia,Maryland,1025,15.1,6004692,0.1707
2016,Influenza and pneumonia,Maine,231,12,1331370,0.1735
2016,Influenza and pneumonia,Louisiana,720,14.3,4678215,0.1539
2016,Influenza and pneumonia,Kentucky,888,17.3,4438229,0.2001
2016,Influenza and pneumonia,Kansas,522,14.4,2911263,0.1793
2016,Influenza and pneumonia,Iowa,504,11.6,3131785,0.1609
2016,Influenza and pneumonia,Indiana,962,12.6,6633344,0.145
2016,Influenza and pneumonia,Illinois,2178,14.5,12826895,0.1698
2016,Influenza and pneumonia,Idaho,207,11.3,1682930,0.123
2016,Influenza and pneumonia,Hawaii,507,24.4,1428105,0.355
2016,Influenza and pneumonia,Georgia,1423,14.3,10304763,0.1381
2016,Influenza and pneumonia,Florida,2808,9.3,20629982,0.1361
2016,Influenza and pneumonia,District of Columbia,78,11.5,686575,0.1136
2016,Influenza and pneumonia,Delaware,132,10.7,949216,0.1391
2016,Influenza and pneumonia,Connecticut,572,11.7,3578674,0.1598
2016,Influenza and pneumonia,Colorado,533,9.6,5540921,0.0962
2016,Influenza and pneumonia,California,5981,14,39209127,0.1525
2016,Influenza and pneumonia,Arkansas,623,17.1,2990410,0.2083
2016,Influenza and pneumonia,Arizona,885,10.4,6945452,0.1274
2016,Influenza and pneumonia,Alaska,61,12.5,741504,0.0823
2016,Influenza and pneumonia,Alabama,987,17.1,4864745,0.2029
